id	well	abs_649	abs_665	blank_649	blank_665	abs_649_corrected	abs_665_corrected
116	F2	0.068	0.094	0.053	0.071	0.015	0.023
117	D3	0.088	0.157	0.053	0.071	0.035	0.086
117	E3	0.088	0.156	0.053	0.071	0.035	0.085
117	F3	0.089	0.157	0.053	0.071	0.036	0.086
118	D4	0.069	0.105	0.053	0.071	0.016	0.034
118	E4	0.067	0.103	0.053	0.071	0.014	0.032
118	F4	0.077	0.112	0.053	0.071	0.024	0.041
119	D5	0.067	0.093	0.053	0.071	0.014	0.022
119	E5	0.06	0.085	0.053	0.071	0.007	0.014
119	F5	0.067	0.101	0.053	0.071	0.014	0.030
120	D6	0.08	0.125	0.053	0.071	0.027	0.054
120	E6	0.071	0.116	0.053	0.071	0.018	0.045
120	F6	0.085	0.132	0.053	0.071	0.032	0.061
121	D7	0.076	0.131	0.053	0.071	0.023	0.060
121	E7	0.092	0.156	0.053	0.071	0.039	0.085
121	F7	0.089	0.142	0.053	0.071	0.036	0.071
122	D8	0.083	0.139	0.053	0.071	0.030	0.068
122	E8	0.091	0.151	0.053	0.071	0.038	0.080
122	F8	0.095	0.161	0.053	0.071	0.042	0.090
123	D9	0.099	0.184	0.053	0.071	0.046	0.113
123	E9	0.103	0.186	0.053	0.071	0.050	0.115
123	F9	0.104	0.191	0.053	0.071	0.051	0.120
124	D10	0.069	0.105	0.053	0.071	0.016	0.034
124	E10	0.07	0.106	0.053	0.071	0.017	0.035
124	F10	0.067	0.105	0.053	0.071	0.014	0.034
125	D11	0.099	0.191	0.053	0.071	0.046	0.120
125	E11	0.104	0.197	0.053	0.071	0.051	0.126
125	F11	0.102	0.196	0.053	0.071	0.049	0.125
126	D12	0.125	0.242	0.053	0.071	0.072	0.171
126	E12	0.113	0.238	0.053	0.071	0.060	0.167
126	F12	0.126	0.252	0.053	0.071	0.073	0.181
127	G1	0.095	0.162	0.053	0.071	0.042	0.091
127	G2	0.087	0.159	0.053	0.071	0.034	0.088
127	G3	0.093	0.166	0.053	0.071	0.040	0.095
128	G4	0.102	0.182	0.053	0.071	0.049	0.111
128	G5	0.117	0.206	0.053	0.071	0.064	0.135
128	G6	0.117	0.207	0.053	0.071	0.064	0.136
129	G7	0.106	0.214	0.053	0.071	0.053	0.143
129	G8	0.111	0.219	0.053	0.071	0.058	0.148
129	G9	0.115	0.234	0.053	0.071	0.062	0.163
130	G10	0.116	0.234	0.053	0.071	0.063	0.163
130	G11	0.123	0.244	0.053	0.071	0.070	0.173
130	G12	0.125	0.245	0.053	0.071	0.072	0.174
131	H1	0.135	0.294	0.053	0.071	0.082	0.223
131	H2	0.141	0.298	0.053	0.071	0.088	0.227
131	H3	0.144	0.307	0.053	0.071	0.091	0.236
132	H4	0.126	0.253	0.053	0.071	0.073	0.182
132	H5	0.124	0.252	0.053	0.071	0.071	0.181
132	H6	0.128	0.265	0.053	0.071	0.075	0.194
133	H7	0.15	0.327	0.053	0.071	0.097	0.256
133	H8	0.161	0.342	0.053	0.071	0.108	0.271
133	H9	0.151	0.332	0.053	0.071	0.098	0.261
134	H10	0.16	0.36	0.053	0.071	0.107	0.289
134	H11	0.167	0.377	0.053	0.071	0.114	0.306
134	H12	0.162	0.372	0.053	0.071	0.109	0.301
