id	well	abs_649	abs_665	blank_649	blank_665	abs_649_corrected	abs_665_corrected
94	E11	0.141	0.307	0.043	0.042	0.098	0.265
94	F11	0.138	0.305	0.043	0.042	0.095	0.263
95	D12	0.202	0.463	0.043	0.042	0.159	0.421
95	E12	0.197	0.462	0.043	0.042	0.154	0.420
95	F12	0.178	0.41	0.043	0.042	0.135	0.368
96	G1	0.176	0.345	0.043	0.042	0.133	0.303
96	G2	0.151	0.35	0.043	0.042	0.108	0.308
96	G3	0.149	0.334	0.043	0.042	0.106	0.292
97	G4	0.162	0.381	0.043	0.042	0.119	0.339
97	G5	0.173	0.404	0.043	0.042	0.130	0.362
97	G6	0.17	0.397	0.043	0.042	0.127	0.355
98	G7	0.164	0.374	0.043	0.042	0.121	0.332
98	G8	0.162	0.378	0.043	0.042	0.119	0.336
98	G9	0.162	0.373	0.043	0.042	0.119	0.331
99	G10	0.158	0.365	0.043	0.042	0.115	0.323
99	G11	0.167	0.392	0.043	0.042	0.124	0.350
99	G12	0.17	0.396	0.043	0.042	0.127	0.354
100	H1	0.179	0.423	0.043	0.042	0.136	0.381
100	H2	0.186	0.427	0.043	0.042	0.143	0.385
100	H3	0.187	0.433	0.043	0.042	0.144	0.391
101	H4	0.164	0.382	0.043	0.042	0.121	0.340
101	H5	0.16	0.373	0.043	0.042	0.117	0.331
101	H6	0.179	0.397	0.043	0.042	0.136	0.355
102	H7	0.16	0.367	0.043	0.042	0.117	0.325
102	H8	0.159	0.363	0.043	0.042	0.116	0.321
102	H9	0.156	0.357	0.043	0.042	0.113	0.315
103	H10	0.149	0.34	0.043	0.042	0.106	0.298
103	H11	0.151	0.346	0.043	0.042	0.108	0.304
103	H12	0.147	0.34	0.043	0.042	0.104	0.298
