id,sow_date,rack,germ_date,thin_date,harvest_date,notes
a_y_630_108,8/13/22,6t,8/19/22,8/23/22,10/2/22,
a_n_0_109,8/13/22,6b,8/19/22,8/23/22,10/2/22,
a_n_0_110,8/13/22,1b,8/18/22,8/23/22,10/2/22,
a_n_0_111,8/13/22,4t,8/19/22,8/23/22,10/2/22,
a_n_0_112,8/13/22,2t,8/18/22,8/23/22,10/2/22,
a_n_35_113,8/13/22,3t,8/18/22,8/23/22,10/2/22,
a_n_35_114,8/13/22,6t,8/19/22,8/23/22,10/2/22,
a_n_35_115,8/13/22,4b,8/18/22,8/23/22,10/2/22,
a_n_35_116,8/13/22,2t,8/18/22,8/23/22,10/2/22,
a_n_70_117,8/13/22,1t,8/18/22,8/23/22,10/2/22,
a_n_70_118,8/13/22,5t,8/18/22,8/23/22,10/2/22,
a_n_70_119,8/13/22,3t,8/18/22,8/23/22,10/2/22,
a_n_70_120,8/13/22,5b,8/18/22,8/23/22,10/2/22,
a_n_105_121,8/13/22,2b,8/18/22,8/23/22,10/2/22,
a_n_105_122,8/13/22,6b,8/18/22,8/23/22,10/2/22,
a_n_105_123,8/13/22,5t,8/18/22,8/23/22,10/2/22,
a_n_105_124,8/13/22,5b,8/18/22,8/23/22,10/2/22,
a_n_140_125,8/13/22,1t,8/19/22,8/23/22,10/2/22,
a_n_140_126,8/13/22,4t,8/19/22,8/23/22,10/2/22,
a_n_140_127,8/13/22,4b,8/18/22,8/23/22,10/2/22,
a_n_140_128,8/13/22,2t,8/19/22,8/23/22,10/2/22,
a_n_210_129,8/13/22,1b,8/19/22,8/23/22,10/2/22,
a_n_210_130,8/13/22,6t,8/18/22,8/23/22,10/2/22,
a_n_210_131,8/13/22,2b,8/18/22,8/23/22,10/2/22,
a_n_210_132,8/13/22,4b,8/18/22,8/23/22,10/2/22,
a_n_280_133,8/13/22,1b,8/18/22,8/23/22,10/2/22,
a_n_280_134,8/13/22,1t,8/19/22,8/23/22,10/2/22,
a_n_280_135,8/13/22,6b,8/18/22,8/23/22,10/2/22,
a_n_280_136,8/13/22,3t,8/19/22,8/23/22,10/2/22,
a_n_350_137,8/13/22,2t,8/18/22,8/23/22,10/2/22,
a_n_350_138,8/13/22,6b,8/19/22,8/23/22,10/2/22,
a_n_350_139,8/13/22,4t,8/19/22,8/23/22,10/2/22,
a_n_350_140,8/13/22,3t,8/19/22,8/23/22,10/2/22,
a_n_630_141,8/13/22,2b,8/18/22,8/23/22,10/2/22,
a_n_630_142,8/13/22,4b,8/18/22,8/23/22,10/2/22,
a_n_630_143,8/13/22,5b,8/18/22,8/23/22,10/2/22,
a_n_630_144,8/13/22,5t,8/18/22,8/23/22,10/2/22,
