"id","tleaf","vcmax25","jmax25","jmax25.vcmax25","rd25","tpu"
"a_n_70_119",25,18.701,39.027,2.087,0.468,NA
"a_n_70_120",25.011,43.731,79.066,1.808,2.246,NA
"a_n_105_121",25.014,57.965,110.747,1.911,1.328,7.617
"a_n_105_122",25.017,67.183,120.412,1.792,2.865,7.342
"a_n_105_123",25.007,63.687,121.005,1.9,2.066,8.036
"a_n_105_124",25.021,64.523,116.118,1.8,1.921,8.007
"a_n_140_125",26.5,84.238,153.307,1.82,2.789,10.236
"a_n_140_126",25.014,83.68,151.904,1.815,1.569,NA
"a_n_140_127",25.017,49.121,91.994,1.873,2.568,6.414
"a_n_140_128",25.018,68.896,131.457,1.908,2.172,NA
"a_n_210_129",25.038,95.33,173.538,1.82,3.524,11.359
"a_n_210_130",25.05,84.205,156.506,1.859,2.354,9.847
"a_n_210_131",25.057,90.791,166.558,1.835,2.282,11.047
"a_n_210_132",25.025,78.822,144.323,1.831,2.936,9.468
"a_n_280_133",24.993,84.932,132.193,1.556,3.924,NA
"a_n_280_134",27.691,113.095,180.111,1.593,3.454,11.845
"a_n_280_135",25.046,93.844,154.607,1.647,2.778,9.827
"a_n_280_136",25.034,114.362,215.672,1.886,1.608,13.572
"a_n_350_137",25.016,71.682,124.227,1.733,2.566,NA
"a_n_350_138",25.008,103.3,166.181,1.609,3.67,9.376
"a_n_350_139",25.033,125.416,220.709,1.76,2.428,12.586
"a_n_350_140",25.019,123.621,210.819,1.705,1.697,13.1
"a_n_630_141",25.014,93.055,151.057,1.623,4.357,9.159
"a_n_630_142",25.014,91.317,152.459,1.67,2.887,9.176
"a_n_630_143",25.04,106.934,191.661,1.792,2.161,11.539
"a_n_630_144",25.024,115.909,199.472,1.721,3.061,11.916
