"id","tleaf_wk6","anet_wk6","gsw_wk6","ci.ca_wk6","vcmax25_wk6","jmax25_wk6","jmax25.vcmax25_wk6","rd25_wk6","tpu_wk6"
"e_n_280_64",26.671,17.761,0.389,0.779,75.693,145.925,1.928,2.85,9.798
"e_n_35_41",27.739,6.063,0.075,0.663,22.837,55.594,2.434,2.13,NA
"e_n_35_42",27.283,6.799,0.079,0.638,52.671,94.614,1.796,5.175,7.258
"e_n_35_43",27.228,6.039,0.085,0.698,29.517,65.197,2.209,1.272,NA
"e_n_35_44",27.595,5.052,0.064,0.67,31.296,70.411,2.25,2.571,NA
"e_n_350_65",27.099,38.409,0.546,0.67,88.401,173.957,1.968,0.85,11.962
"e_n_350_66",26.161,35.013,0.917,0.801,74.639,137.045,1.836,2.806,9.229
"e_n_350_67",27.334,17.768,0.316,0.737,83.719,150.243,1.795,3.488,9.839
"e_n_350_68",27.282,18.706,0.249,0.661,95.241,184.5,1.937,2.863,12.423
"e_n_630_69",26.414,21.967,0.281,0.643,114.416,223.095,1.95,3.374,14.854
"e_n_630_70",26.885,43.971,0.598,0.653,112.388,215.879,1.921,3.161,14.507
"e_n_630_71",27.79,18.486,0.218,0.623,99.096,179.192,1.808,2.984,12.529
"e_n_630_72",27.827,22.742,0.245,0.582,127.927,251.8,1.968,2.867,NA
"e_n_70_45",27.849,18.868,0.263,0.685,47.702,99.163,2.079,1.881,7.846
"e_n_70_46",27.4,8.982,0.184,0.778,50.148,95.574,1.906,4.95,7.449
"e_n_70_47",27.352,14.582,0.174,0.628,72.935,137.867,1.89,1.095,9.417
"e_n_70_48",27.794,6.048,0.081,0.678,29.923,59.436,1.986,0.98,4.637
"e_y_0_1",26.745,26.108,0.465,0.725,117.931,220.226,1.867,3.436,13.383
"e_y_0_2",26.779,34.765,0.581,0.717,79.545,156.648,1.969,2.531,10.626
"e_y_0_3",27.314,22.055,0.361,0.711,93.295,172.207,1.846,1.105,11.464
"e_y_0_4",26.96,22.799,0.289,0.638,119.558,221.85,1.856,3.421,14.359
"e_y_105_13",27.055,38.844,0.721,0.737,82.238,166.952,2.03,1.538,11.644
"e_y_105_14",27.095,14.744,0.217,0.694,84.936,157.423,1.853,5.617,10.881
"e_y_105_15",26.914,20.712,0.29,0.668,100.635,195.75,1.945,2.34,12.634
"e_y_105_16",26.973,17.029,0.362,0.775,73.956,133.048,1.799,2.909,8.828
"e_y_140_17",27.013,10.706,0.149,0.679,55.693,114.531,2.056,2.293,8.445
"e_y_140_18",26.952,14.22,0.188,0.667,67.206,133.889,1.992,1.198,9.506
"e_y_140_19",27.526,20.958,0.311,0.687,101.468,186.696,1.84,3.009,12.353
"e_y_140_20",27.011,21.675,0.341,0.701,102.069,198.162,1.941,3.136,13.214
"e_y_210_21",27.099,17.806,0.255,0.683,72.961,147.051,2.015,1.55,10.198
"e_y_210_22",26.959,17.006,0.285,0.724,77.598,153.189,1.974,2.545,10.829
"e_y_210_23",27.101,17.352,0.272,0.708,79.265,158.704,2.002,1.941,11.069
"e_y_210_24",26.855,20.316,0.359,0.729,92.103,176.249,1.914,2.773,11.52
"e_y_280_25",26.146,19.071,0.325,0.728,90.115,176.522,1.959,3.475,11.652
"e_y_280_26",26.511,21.152,0.366,0.725,100.224,195.321,1.949,3.683,12.314
"e_y_280_27",27.454,4.603,0.064,0.698,29.74,57.869,1.946,3.088,NA
"e_y_280_28",27.118,17.638,0.316,0.739,87.331,157.374,1.802,4.645,10.409
"e_y_35_5",27.32,22.21,0.296,0.655,103.253,180.11,1.744,1.195,11.891
"e_y_35_6",26.542,20.185,0.334,0.716,89.815,169.031,1.882,1.927,10.916
"e_y_35_7",27.458,38.36,0.661,0.718,92.109,167.76,1.821,3.656,NA
"e_y_35_8",27.288,40.699,0.788,0.744,85.324,165.138,1.935,1.776,11.514
