"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","AccCO2_soda","CO2_hrs","AccH2O_des","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","week"
43,1664314313.6,989.599999904633,2022-09-27 16:31:53,16:31:53,5,"a_n_70_117","ozzie",1664314310.8,0.00060793947213405,0.607939472134051,-2.24435503418685,422.035802790502,509.534074210159,46.2430296180852,38.3020785382923,0.0360852486454518,2.76097466672763,0.0358252725654821,0.0224139969021876,0.00015962074799999,25.6228274745271,25.6228274745271,3.29967989478072,54.099288365132,1.80289197480702,3.33256135023214,1.4967879199737,-26.8101307211117,24.8880401098932,1.9203183269885,-0.00161266348196065,-2.2493739641153,0.607264097892352,-2.24435503418685,427.821078716326,430.567696969697,-0.00026808072444861,64.9731599771033,0.607939472134051,19.1509639726089,19.8658278787879,5.33392036762884e-06,128.45392884788,0,0,1,0,48241,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664314310.8,422.0358,419.6445,19.86537,19.15125,415.48,19.47428,500.0845,90.65567,0.09984952,25.79003,25.01291,999.9,0,0,10003.321,0,0.220656,2.391166,430.5896,427.8382,0.7141279,419.6445,19.15125,1.800909,1.736169,15.79469,15.22365,0.00100013,0,0,0,603.8,0.00100013,-21,-2.4,35.75,39.706,37.4496,40.5937,37.9998,0,0,0,1664314301.4,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,2.36113775,0.0960097936210124,0.0413238044889081,1,0.71012305,0.0341326829268278,0.00356097755504018,1,2,2,"2/2",2.9746,2.75385,0.0912556,0.0921042,0.0906729,0.0895707,35481.7,38676.4,35376.9,38628.3,45592,50776.4,55268.2,61938.1,2.00608,1.85945,0.0450872,0,24.273,999.9,56.019,28.339,23.9168,60.6309,45.3085,1,-0.14436,-0.0327397,20.1663,5.19917,12.0044,4.97575,3.29388,9999,9999,717.9,9999,1.86281,1.86771,1.86752,1.86871,1.86951,1.86557,1.86662,1.86804,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.556,0.391,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,165,164.9,1.02417,2.62329,1.54785,2.30225,1.34644,2.25952,31.8049,14.8763,18,502.547,409.01,24.491,25.4221,30.0001,25.3628,25.3074,20.5155,26.388,63.9477,24.4819,419.7,19.1762,102.547,103.11,7
44,1664314318.6,994.599999904633,2022-09-27 16:31:58,16:31:58,5,"a_n_70_117","ozzie",1664314316.1,0.00060647719595375,0.606477195953755,-2.20812559708155,422.037558318863,508.082913833403,46.110568916509,38.3016066637464,0.0360373142289622,2.76166261430868,0.0357780897881163,0.0223844408293607,0.00015962074799999,25.6143371504127,25.6143371504127,3.29801780589857,54.1273305978973,1.80287204547082,3.33079800085478,1.49514576042775,-26.7456443415606,24.8287795066872,1.91510111514652,-0.00160409897888769,-2.19563485300018,0.606882777503038,-2.20812559708155,427.89177395621,430.592527272727,5.50805992633046e-05,64.9731599771033,0.606477195953755,19.1516738298049,19.864836969697,2.88682430425292e-06,128.45392884788,0,0,1,0,47909,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664314316.1,422.037555555556,419.710555555556,19.8654777777778,19.1518111111111,415.481777777778,19.4743777777778,500.087888888889,90.6540333333333,0.0999905888888889,25.7811,25.0104777777778,999.9,0,0,10007.57,0,0.220656,2.32701222222222,430.591222222222,427.905666666667,0.713667444444444,419.710555555556,19.1518111111111,1.80088444444444,1.73618777777778,15.7944777777778,15.2238333333333,0.00100013,0,0,0,604.333333333333,0.00100013,-25.3888888888889,-3.05555555555556,35.6732222222222,39.5066666666667,37.347,40.2983333333333,37.8816666666667,0,0,0,1664314306.2,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,2.35605825,0.0329472045028063,0.0389855602042282,1,0.712497575,0.0147181575984977,0.00161565084234651,1,2,2,"2/2",2.97451,2.75398,0.0912527,0.0921138,0.0906688,0.0895703,35481.7,38675.9,35376.8,38628.3,45592.2,50776.6,55268.2,61938.4,2.006,1.85935,0.0448488,0,24.2679,999.9,56.019,28.339,23.9159,60.6709,45.629,1,-0.144278,-0.0393273,20.1663,5.19932,12.0044,4.9757,3.29378,9999,9999,717.9,9999,1.86281,1.8677,1.86752,1.86868,1.86951,1.86556,1.86661,1.86802,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.556,0.391,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,165.1,165,1.02417,2.61353,1.54785,2.30225,1.34644,2.35596,31.8049,14.885,18,502.515,408.957,24.478,25.4238,30.0002,25.3647,25.3076,20.512,26.388,63.5735,24.4711,419.7,19.1762,102.547,103.11,7
45,1664314323.6,999.599999904633,2022-09-27 16:32:03,16:32:03,5,"a_n_70_117","ozzie",1664314320.8,0.00060685159423577,0.606851594235776,-2.25836646928359,422.01170282001,510.111423785614,46.2948629883922,38.299424499384,0.0361015624091676,2.7569477966099,0.0358409750164033,0.0224238651942215,0.00015962074799999,25.6046681976483,25.6046681976483,3.2961258762314,54.150734885948,1.80265763420893,3.32896245638342,1.49346824202247,-26.7621553057977,24.8412292472216,1.91915533469773,-0.00161110313040424,-2.21782555460021,0.616127624108158,-2.25836646928359,427.815299054269,430.577048484848,0.00010389570462495,64.9731599771033,0.606851594235776,19.1459092955124,19.8595745454545,-8.56016222087694e-06,128.45392884788,0,0,1,0,48148,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664314320.8,422.0117,419.6629,19.86303,19.13854,415.4565,19.47202,500.1224,90.65423,0.10018331,25.7718,24.99963,999.9,0,0,9979.685,0,0.220656,2.349241,430.5644,427.8512,0.7244837,419.6629,19.13854,1.800664,1.734987,15.79257,15.21306,0.00100013,0,0,0,593.8,0.00100013,-12.8,-1.3,35.625,39.3622,37.2624,40.0622,37.7872,0,0,0,1664314311.6,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,2.3498945,0.00754378986866631,0.0425426342008813,1,0.71450925,0.0298325403377092,0.00444152448912532,1,2,2,"2/2",2.9744,2.75374,0.0912516,0.0921055,0.0906469,0.0894292,35481.3,38675.9,35376.3,38627.9,45593,50784.1,55267.8,61937.8,2.00612,1.85925,0.0443868,0,24.2616,999.9,56.043,28.339,23.928,60.8609,45.7372,1,-0.144078,-0.273815,20.1648,5.19932,12.004,4.9757,3.29375,9999,9999,717.9,9999,1.8628,1.86769,1.86752,1.86868,1.86951,1.86556,1.86661,1.86803,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.555,0.3908,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,165.2,165,1.02417,2.61108,1.54785,2.30225,1.34644,2.38037,31.783,14.8763,18,502.599,408.917,24.4674,25.4258,30.0003,25.3649,25.3098,20.5147,26.388,63.5735,24.8425,419.7,19.1762,102.546,103.109,7
46,1664314328.6,1004.59999990463,2022-09-27 16:32:08,16:32:08,5,"a_n_70_117","ozzie",1664314326.1,0.00059324822020053,0.593248220200534,-2.16928210768045,421.999447146078,508.398291225484,46.1381897436899,38.2973170842593,0.035274598361861,2.76144026351418,0.0350261699121365,0.0219135305184942,0.00015962074799999,25.599504824011,25.599504824011,3.29511594427602,54.135757171508,1.80118124669442,3.32715628413228,1.4939346975816,-26.1622465108435,24.2873730598832,1.87317885527129,-0.00153497494107313,-2.15645271190552,0.640610658635853,-2.16928210768045,427.911327751814,430.563963636364,0.00010911278208059,64.9731599771033,0.593248220200534,19.0955004802713,19.8401133333333,-0.00501781745955242,128.45392884788,0,0,1,0,48146,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664314326.1,421.999444444444,419.736666666667,19.8472777777778,19.0939888888889,415.443888888889,19.4569888888889,500.123888888889,90.6521555555556,0.0998995555555556,25.7626444444444,24.9803555555556,999.9,0,0,10006.4622222222,0,0.220656,2.26292111111111,430.544666666667,427.906888888889,0.753283,419.736666666667,19.0939888888889,1.79919777777778,1.73091222222222,15.7798333333333,15.1764555555556,0.00100013,0,0,0,598.166666666667,0.00100013,-16.5555555555556,-1.55555555555556,35.562,39.1942222222222,37.1594444444444,39.8123333333333,37.708,0,0,0,1664314316.4,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,2.339954,-0.435497560975614,0.0546588537109954,0,0.72435465,0.137375279549715,0.0160218560715511,0,0,2,"0/2",2.9744,2.75388,0.0912488,0.0921018,0.090587,0.0893595,35481.1,38675.7,35376,38627.5,45595.6,50787.5,55267.3,61937.2,2.0064,1.85963,0.0437759,0,24.2539,999.9,56.092,28.339,23.9501,60.9609,45.5649,1,-0.142612,-1.32802,20.1598,5.19947,12.0041,4.97575,3.29383,9999,9999,717.9,9999,1.86281,1.8677,1.86752,1.86866,1.86952,1.86556,1.86661,1.86803,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.555,0.39,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,165.2,165.1,1.02417,2.61719,1.54785,2.30347,1.34644,2.40356,31.8049,14.885,18,502.8,409.126,24.7398,25.426,30.0011,25.367,25.3098,20.5142,26.1106,63.5735,24.8556,419.7,19.1768,102.545,103.108,7
47,1664314333.6,1009.59999990463,2022-09-27 16:32:13,16:32:13,5,"a_n_70_117","ozzie",1664314330.8,0.00063679498317946,0.636794983179469,-2.15373062865633,422.005102678152,501.030422517513,45.4688729331403,38.2972680469099,0.0379011468818739,2.76281742235723,0.0376146490043019,0.0235347156653895,0.00015962074799999,25.5931169430319,25.5931169430319,3.29386687845672,54.1015710882794,1.80063137176086,3.32824229600044,1.49323550669586,-28.0826587582146,26.0710010557328,2.00973112045402,-0.0017669612797313,-2.18223248909677,0.623300969222164,-2.15373062865633,427.881467108002,430.517284848485,-0.00033890194249704,64.9731599771033,0.636794983179469,19.0968951061877,19.8456090909091,1.07504966000553e-05,128.45392884788,0,0,1,0,48180,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664314330.8,422.0051,419.7026,19.84151,19.10856,415.4496,19.45146,500.1163,90.65077,0.09995269,25.76815,24.97416,999.9,0,0,10014.762,0,0.220656,2.302611,430.548,427.8786,0.7329301,419.7026,19.10856,1.798647,1.732206,15.77504,15.18808,0.00100013,0,0,0,592.65,0.00100013,-7.1,0.1,35.5062,39.0622,37.0746,39.5935,37.6186,0,0,0,1664314321.2,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,2.314536,-0.186385666041285,0.0393086999149043,0,0.7314462,0.130876232645402,0.0170231936269315,0,0,2,"0/2",2.97468,2.75398,0.0912421,0.0920931,0.0906148,0.0895741,35481.3,38676.1,35376,38627.6,45594,50775.6,55267.1,61937.3,2.0062,1.85928,0.0443794,0,24.2475,999.9,56.068,28.329,23.9253,60.4009,45.1202,1,-0.143161,-0.689137,20.1644,5.20082,12.0041,4.9759,3.29375,9999,9999,717.9,9999,1.86281,1.8677,1.86751,1.86869,1.86951,1.86555,1.86662,1.868,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.556,0.3903,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,165.3,165.2,1.02417,2.62451,1.54785,2.30347,1.34644,2.34253,31.8049,14.8763,18,502.672,408.944,24.8941,25.4281,30.0001,25.3674,25.3116,20.5156,26.1106,63.5735,24.8739,419.7,19.1767,102.545,103.108,7
48,1664314338.6,1014.59999990463,2022-09-27 16:32:18,16:32:18,5,"a_n_70_117","ozzie",1664314336.1,0.00065092988069423,0.650929880694234,-2.16227858435041,421.951558264216,499.319267779164,45.3139112633866,38.2926850663588,0.0387735843846546,2.75715538342341,0.0384731908569576,0.0240725393266146,0.00015962074799999,25.5986308153462,25.5986308153462,3.29494501898611,54.1306952119862,1.80264099134719,3.33016412275456,1.49230402763893,-28.7060077386157,26.6455942465723,2.05840047389107,-0.00185339740431444,-2.15725210466555,0.588156928033084,-2.16227858435041,427.855932547496,430.501078787879,-1.7854945956852e-05,64.9731599771033,0.650929880694234,19.1700573618855,19.8751660606061,0.0064432550349348,128.45392884788,0,0,1,0,47987,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664314336.1,421.951555555556,419.661,19.8635111111111,19.1718444444444,415.396111111111,19.4725,500.073888888889,90.6512,0.1001773,25.7778888888889,24.9715777777778,999.9,0,0,9981.24444444445,0,0.220656,2.29036777777778,430.502666666667,427.863888888889,0.691688,419.661,19.1718444444444,1.80065222222222,1.73794888888889,15.7924555555556,15.2396,0.00100013,0,0,0,601,0.00100013,-19.2777777777778,-1.61111111111111,35.437,38.8956666666667,36.972,39.3401111111111,37.5206666666667,0,0,0,1664314326.6,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,2.3053615,-0.09028637898687,0.0377010390805081,1,0.726390725,-0.0968984577861181,0.0235133438997811,1,2,2,"2/2",2.97464,2.75386,0.0912363,0.0921022,0.0907046,0.089655,35481.6,38675.4,35376,38627.3,45589.7,50770.8,55267.5,61937.1,2.00627,1.85955,0.0442453,0,24.244,999.9,56.092,28.329,23.9368,60.7409,45.645,1,-0.143181,-0.499466,20.1652,5.20112,12.0041,4.97575,3.29388,9999,9999,717.9,9999,1.86283,1.86769,1.86752,1.86868,1.86951,1.86556,1.86662,1.86803,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.555,0.3916,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,165.4,165.3,1.02417,2.61353,1.54785,2.30347,1.34644,2.36816,31.8049,14.8763,18,502.738,409.109,24.9151,25.429,30,25.3692,25.3132,20.5167,26.1106,63.5735,24.8934,419.7,19.1767,102.545,103.108,7
49,1664314653.6,1329.59999990463,2022-09-27 16:37:33,16:37:33,5,"a_n_140_125","ozzie",1664314650.6,0.00126314171655934,1.26314171655934,-2.82962216503324,422.438821712577,470.613157847505,42.7108075740025,38.3387139205331,0.0762340249701611,2.76059779280773,0.0750835136014745,0.0470291184390911,0.00015962074799999,25.4593371047085,25.4593371047085,3.26780286387792,53.4641580791065,1.78349557101287,3.33587142319529,1.48430729286505,-55.7045497002669,51.7099702438014,3.98745832435211,-0.00696151136545353,-2.80804535211045,1.26130698696247,-2.82962216503324,427.471355372668,430.926278787879,0.00060962650607873,64.9962583118248,1.26314171655934,18.1677273813279,19.6533139393939,1.61266855826081e-05,128.16402078323,6,1,1,0,48080,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664314650.6,422.438818181818,419.709,19.6516181818182,18.1680363636364,415.880545454545,19.2700545454545,500.081727272727,90.6557272727273,0.0999323636363636,25.8067818181818,25.0145363636364,999.9,0,0,10001.0863636364,0,0.220656,2.72992818181818,430.906818181818,427.475363636364,1.48359272727273,419.709,18.1680363636364,1.78153363636364,1.64703727272727,15.6257090909091,14.4060636363636,0.00100013,0,0,0,850.545454545455,0.00100013,-22.2727272727273,-2.31818181818182,35.3406363636364,38.8179090909091,36.8919090909091,39.1589090909091,37.4144545454545,0,0,0,1664314641.6,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,2.728941,-0.0953223264540326,0.0247693189046449,1,1.46188975,0.201677335834894,0.0200984409205665,0,1,2,"1/2",2.97455,2.75398,0.0913037,0.0920802,0.0899764,0.086287,35474.2,38671.8,35371.8,38623.5,45622.4,50955.6,55262,61932.8,1.9904,1.856,0.0479929,0,24.236,999.9,54.633,28.309,23.2832,60.5908,45.7131,1,-0.138232,-0.490046,20.1653,5.20321,12.0041,4.97575,3.2937,9999,9999,718,9999,1.86289,1.86777,1.86751,1.8687,1.86951,1.86555,1.86662,1.86803,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.558,0.3817,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,170.7,170.5,1.02417,2.62085,1.54785,2.30347,1.34644,2.41455,31.8049,14.8325,18,493.052,407.662,25.0503,25.501,30.0001,25.4417,25.3839,20.5128,29.1239,60.9685,25.0105,419.7,18.0591,102.534,103.099,7
50,1664314658.6,1334.59999990463,2022-09-27 16:37:38,16:37:38,5,"a_n_140_125","ozzie",1664314656.1,0.00126210161293617,1.26210161293618,-2.79895678165697,422.417559042247,470.03705184201,42.6576418373711,38.3359925963825,0.0761056769678867,2.75978990414926,0.0749586747194891,0.046950785240901,0.00015962074799999,25.4663487509947,25.4663487509947,3.26916443850418,53.4473005414298,1.78365372673584,3.33721948286844,1.48551071176833,-55.6586811304854,51.6660525620072,3.98551486636431,-0.00695408136588326,-2.79487831131625,1.26553007236298,-2.79895678165697,427.480347664763,430.899521212121,0.00017882066127312,64.9962583118248,1.26210161293618,18.1679882428423,19.6522733333333,1.02727681234708e-05,128.16402078323,6,1,1,0,48182,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664314656.1,422.417555555556,419.705888888889,19.6537666666667,18.1653555555556,415.859444444444,19.2720888888889,500.127,90.6537777777778,0.100007844444444,25.8136,25.0364333333333,999.9,0,0,9996.52555555556,0,0.220656,2.71146333333333,430.885888888889,427.471111111111,1.48840222222222,419.705888888889,18.1653555555556,1.78168777777778,1.64675888888889,15.6270444444444,14.4034444444444,0.00100013,0,0,0,852.388888888889,0.00100013,-24.0555555555556,-2,35.2706666666667,38.6804444444444,36.8052222222222,38.9511111111111,37.319,0,0,0,1664314646.4,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,2.72135975,-0.0326439399624819,0.0254215185903104,1,1.47465925,0.131487917448403,0.0143097245584078,0,1,2,"1/2",2.97431,2.75384,0.0912998,0.0920758,0.089968,0.0862408,35474.3,38671.9,35371.8,38623.4,45622.7,50957.8,55261.8,61932.3,1.9904,1.85618,0.0486933,0,24.2386,999.9,54.609,28.309,23.2753,60.4808,45.5649,1,-0.138232,-0.327579,20.166,5.20351,12.0043,4.9757,3.29375,9999,9999,718,9999,1.86289,1.86777,1.86752,1.86871,1.86951,1.86554,1.86661,1.86804,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.559,0.3816,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,170.7,170.6,1.02417,2.62695,1.54785,2.30347,1.34644,2.31201,31.8049,14.8238,18,493.052,407.769,25.0402,25.5024,30.0001,25.4417,25.3852,20.5127,29.4223,60.9685,24.9792,419.7,18.0428,102.534,103.099,7
51,1664314663.6,1339.59999990463,2022-09-27 16:37:43,16:37:43,5,"a_n_140_125","ozzie",1664314660.8,0.00126982041187014,1.26982041187015,-2.73620172769341,422.427003412665,468.38904864296,42.5066817280556,38.3355892701193,0.076557998494563,2.75985469302435,0.0753974605835653,0.0472262170614155,0.00015962074799999,25.4651728652217,25.4651728652217,3.26893606150662,53.4271848227814,1.78308173674756,3.33740537268071,1.48585432475906,-55.9990801634734,51.9820866090075,4.0097948372989,-0.00703909641899969,-2.76542156288615,1.27980263174345,-2.73620172769341,427.547276214713,430.89123030303,-8.73928929068618e-05,64.9962583118248,1.26982041187015,18.1503952436714,19.6442127272727,-2.38409589206742e-05,128.16402078323,6,1,1,0,48120,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664314660.8,422.427,419.7577,19.64811,18.14278,415.8687,19.26668,500.0858,90.65079,0.10001182,25.81454,25.04299,999.9,0,0,9997.238,0,0.220656,2.669289,430.8933,427.5139,1.50532,419.7577,18.14278,1.781115,1.644659,15.62204,14.3837,0.00100013,0,0,0,844,0.00100013,-12.6,0.3,35.2122,38.5746,36.7374,38.7874,37.2624,0,0,0,1664314651.2,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,2.7108865,-0.186578386491557,0.0372262305740186,0,1.48642725,0.0870561726078753,0.00917807168949447,1,1,2,"1/2",2.97463,2.75376,0.0912966,0.0920758,0.0899335,0.0860826,35474.6,38671.6,35371.9,38623.2,45624.7,50966.6,55262.1,61932.2,1.99045,1.8559,0.0488199,0,24.2422,999.9,54.609,28.309,23.2781,60.7009,45.2284,1,-0.138209,-0.189616,20.1663,5.20396,12.0043,4.9759,3.29388,9999,9999,718,9999,1.86287,1.86775,1.86751,1.8687,1.86951,1.86555,1.86661,1.86803,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.558,0.3811,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,170.8,170.7,1.02295,2.61597,1.54785,2.30347,1.34644,2.38037,31.8049,14.8325,18,493.104,407.622,24.9958,25.5031,30.0001,25.4438,25.386,20.5106,29.4223,60.9685,24.9373,419.7,18.0347,102.535,103.099,7
52,1664314668.6,1344.59999990463,2022-09-27 16:37:48,16:37:48,5,"a_n_140_125","ozzie",1664314666.1,0.00125008780884978,1.25008780884978,-2.87596772346575,422.428559144534,472.346851087377,42.8652420742638,38.3351818798583,0.0752167488089509,2.76128553674722,0.0740967689771786,0.046409717105779,0.00015962074799999,25.4694603883348,25.4694603883348,3.26976883859608,53.3791639932959,1.78134115654125,3.33714697510995,1.48842768205483,-55.1288723702755,51.1762496283063,3.94564761954818,-0.00681550167301026,-2.87746002672047,1.30466990091538,-2.87596772346575,427.350370985915,430.866181818182,-0.00032119012573465,64.9962583118248,1.25008780884978,18.095967705768,19.6181424242424,-0.00553067342208038,128.16402078323,6,1,1,0,48052,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1664314666.1,422.428555555556,419.637333333333,19.6292111111111,18.0945444444444,415.870111111111,19.2486444444444,500.067,90.6496333333333,0.0998698666666667,25.8132333333333,25.0438777777778,999.9,0,0,10005.8255555556,0,0.220656,2.79102,430.886444444444,427.370444444445,1.53467444444444,419.637333333333,18.0945444444444,1.77938222222222,1.64026333333333,15.6068222222222,14.3423666666667,0.00100013,0,0,0,856.666666666667,0.00100013,-27.2222222222222,-2.94444444444444,35.1318888888889,38.458,36.6456666666667,38.6038888888889,37.1732222222222,0,0,0,1664314656.6,0,1664304421,13:47:01,1664304414,1664304421,1,-0.016,0.088,6.541,0.538,420,25,0.13,0.06,2.72022225,0.123870731707321,0.0500364260557996,0,1.500454,0.190083602251406,0.0202392565080835,0,0,2,"0/2",2.97447,2.7539,0.091294,0.0920698,0.089852,0.0860094,35474.5,38671.8,35371.7,38623.1,45628.6,50970.5,55261.8,61931.9,1.9903,1.85588,0.0485294,0,24.2447,999.9,54.609,28.298,23.2584,60.4109,45.8614,1,-0.138224,-0.122293,20.1666,5.20351,12.0043,4.9757,3.29383,9999,9999,718,9999,1.86284,1.86777,1.86752,1.8687,1.86951,1.86558,1.86661,1.86805,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.558,0.38,3.82578261500458,0.00683271002957456,-6.36768594959687e-07,1.4956078585089e-11,0.0666078760795521,-0.0221969148070604,0.0024413984616312,-2.29018735883798e-05,-3,1978,1,22,170.9,170.8,1.02417,2.62329,1.54785,2.30347,1.34644,2.42065,31.8049,14.8325,18,493.007,407.609,24.9407,25.5031,30.0001,25.4438,25.386,20.512,29.4223,60.5969,24.8933,419.7,18.0416,102.534,103.098,7
