"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_des","AccCO2_soda","CO2_hrs","AccH2O_hum","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","week"
72,1663788595.1,1097.5,2022-09-21 14:29:55,14:29:55,5,"a_n_350_103","ozzie",1663788592.6,0.00062420603587804,0.624206035878042,-2.89622277121978,423.290336966475,536.479422879449,48.5000631060909,38.2672795629026,0.03693973057886,2.75426075631821,0.036666687967087,0.0229410434027334,0.00015962074799999,25.5466041344216,25.5466041344216,3.28478437680517,53.9083894670772,1.78894701071942,3.31849463210537,1.49583736608575,-27.5274861822216,25.5508205468918,1.97479885316442,-0.00170716141737514,-3.0456348056568,0.653511379021992,-2.89622277121978,428.077125791618,431.758387878788,-0.0293211964957758,65.2706924558397,0.624206035878042,19.0192182974197,19.7768048484848,-0.00271566471477622,119.05025077012,0,0,1,0,47846,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663788592.6,423.290333333333,419.968222222222,19.7882888888889,19.0197555555556,416.788222222222,19.4934,500.105444444444,90.3564111111111,0.0479194888888889,25.7186777777778,25.0180444444444,999.9,0,0,9996.66666666667,0,0.220656,3.32205888888889,431.835777777778,428.110888888889,0.768537111111111,419.968222222222,19.0197555555556,1.78799888888889,1.71855777777778,15.6822444444444,15.0650777777778,0.00100013,0,0,0,598.222222222222,0.00100013,-28.9444444444444,-4.05555555555556,34.9301111111111,38.09,36.4025555555556,38.0205555555556,36.9163333333333,0,0,0,1663788592.6,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.32903902439024,0.0771608362369404,0.0876056210972143,1,0.777598975609756,0.0809814355400712,0.0197987003262628,1,2,2,"2/2",2.97347,2.70155,0.0909883,0.0916741,0.0902293,0.0886754,35448.9,38632,35338.1,38570.4,45583.5,50764.5,55229.6,61862.8,1.9924,1.8234,0.0368059,0,24.4241,999.9,46.557,31.179,23.4834,60.6542,45.1843,1,-0.0835772,0.0691721,20.1325,5.20172,12.0064,4.9752,3.294,9999,9999,706.5,9999,1.86356,1.86838,1.86804,1.86926,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.502,0.2943,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51849.1,51849.1,1.02173,2.64771,1.54785,2.2998,1.34644,2.39502,35.7544,23.9737,18,501.26,395.233,24.5966,26.1868,29.9999,26.1942,26.1423,20.4768,23.3771,33.1549,24.5844,420,19.0654,102.46,102.973,6
73,1663788699.6,1202,2022-09-21 14:31:39,14:31:39,5,"a_y_350_104","ozzie",1663788696.85,0.00205117660752228,2.05117660752228,-3.81406993162825,423.448004828544,462.360828235579,41.7981991526301,38.2804142473534,0.121983956391874,2.75408492430703,0.119059943224633,0.074669337731585,0.00015962074799999,25.8059769556025,25.8059769556025,3.3357123208465,52.8458025120051,1.8226978097456,3.44908719918016,1.5130145111009,-90.4568883917327,83.9218303924713,6.51641482148106,-0.0184835570323685,-3.70608611278188,1.93106371765882,-3.81406993162825,427.572340537718,432.187339393939,0.00939940196901053,65.2775741985751,2.05117660752228,17.8828771813321,20.1879248484848,0.0123190232545294,118.914093702038,0,0,1,0,47413,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663788696.85,423.448,419.9825,20.16221,17.89202,416.9446,19.85126,500.0804,90.35303,0.0486576,26.37119,24.94479,999.9,0,0,9996,0,0.220656,3.465457,432.1612,427.6337,2.270158,419.9825,17.89202,1.821716,1.616601,15.97435,14.11794,0.00100013,0,0,0,839.8,0.00100013,-11.4,0.3,35.2748,39.687,37.1498,40.2374,37.75,0,0,0,1663788697,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.43132025,0.080753133208243,0.104783227343108,1,2.21100075,0.459290544090052,0.0468711950129021,0,1,2,"1/2",2.97362,2.70224,0.0910288,0.0916759,0.0915573,0.0848675,35449.5,38636.2,35339.8,38574.6,45517.3,50982.1,55231.5,61868.7,1.9984,1.8224,0.0293553,0,24.4612,999.9,46.264,31.189,23.3521,60.9342,45.3085,1,-0.0854878,-2.34519,20.1189,5.19932,12.0088,4.9756,3.294,9999,9999,706.6,9999,1.86356,1.86832,1.86813,1.86926,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.503,0.3122,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51850.9,51850.8,1.02173,2.64526,1.54785,2.30225,1.34644,2.44019,35.7777,23.9649,18,504.691,394.271,29.1018,26.1206,29.9998,26.1361,26.0832,20.4655,26.9108,32.0216,29.0768,420,18.0305,102.464,102.984,6
74,1663788704.6,1207,2022-09-21 14:31:44,14:31:44,5,"a_y_350_104","ozzie",1663788702.1,0.00206744506520421,2.06744506520422,-3.829884355371,423.502560358786,462.31739828769,41.7936558183218,38.2847807834371,0.122665078307654,2.75708646005818,0.119711881571282,0.0750793371758331,0.00015962074799999,25.8485764446105,25.8485764446105,3.34414234953781,52.8419530267296,1.827570692751,3.45856007976568,1.51657165678681,-91.174327375506,84.5912479050851,6.56417544734615,-0.0187444023267744,-3.76669913077407,1.97479158135005,-3.829884355371,427.729170479332,432.282545454545,0.0264091314103879,65.2775741985751,2.06744506520422,17.8995539043088,20.2399824242424,0.0103967364676133,118.914093702038,0,0,1,0,47775,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663788702.1,423.502555555556,419.987,20.2164111111111,17.8951555555556,416.999111111111,19.9031,500.126333333333,90.352,0.0483526,26.4176777777778,24.9305888888889,999.9,0,0,10013.8888888889,0,0.220656,3.51564333333333,432.240888888889,427.639777777778,2.32124555555556,419.987,17.8951555555556,1.82659222222222,1.61686555555556,16.0162555555556,14.1204666666667,0.00100013,0,0,0,838.055555555556,0.00100013,-22.0555555555556,-2.16666666666667,35.312,39.75,37.187,40.34,37.7913333333333,0,0,0,1663788701.8,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.43504975,0.120603264540331,0.103068622225377,0,2.24391725,0.531300900562846,0.053631560856808,0,0,2,"0/2",2.9737,2.70273,0.0910353,0.0916306,0.0917247,0.0850717,35449.1,38638.3,35339.6,38574.8,45509,50971.6,55231.8,61869.9,1.9972,1.8226,0.0275075,0,24.4797,999.9,46.24,31.199,23.3506,60.7642,44.7516,1,-0.0854268,-2.38416,20.1181,5.20052,12.0099,4.976,3.2936,9999,9999,706.6,9999,1.86356,1.86835,1.86804,1.86923,1.87012,1.86615,1.86722,1.86856,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.504,0.3144,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51850.9,51850.9,1.02173,2.65259,1.54785,2.30225,1.34644,2.33276,35.7777,23.9649,18,503.86,394.35,29.1333,26.1162,29.9999,26.1326,26.0788,20.4697,26.6264,32.0216,29.1217,420,18.0189,102.464,102.985,6
75,1663788709.6,1212,2022-09-21 14:31:49,14:31:49,5,"a_y_350_104","ozzie",1663788706.8,0.00210099601455944,2.10099601455944,-3.72261596664552,423.481404629014,460.12597842917,41.5967807497964,38.2840003950799,0.12463093657919,2.75571439775053,0.121582113415314,0.0762565335529517,0.00015962074799999,25.8805333546033,25.8805333546033,3.35047852449535,52.8712458027719,1.83305876292463,3.4670239656591,1.51741976157072,-92.6539242420713,85.958346729235,6.67603849252964,-0.0193793995587015,-3.78341010454054,1.96871378020527,-3.72261596664552,427.672210393654,432.229593939394,-0.00186690729138294,65.2775741985751,2.10099601455944,17.9717143283319,20.3105824242424,0.015181192907565,118.914093702038,0,0,1,0,48225,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663788706.8,423.4814,419.942,20.27652,17.96212,416.9779,19.96063,500.0333,90.35436,0.04866591,26.45912,24.95154,999.9,0,0,10005.5,0,0.220656,3.539498,432.2459,427.6228,2.314424,419.942,17.96212,1.832075,1.622955,16.06316,14.17851,0.00100013,0,0,0,829.6,0.00100013,-15.6,-1.25,35.3246,39.7996,37.2122,40.4434,37.812,0,0,0,1663788707.2,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.473197,0.459950093808613,0.12937058251782,0,2.27705575,0.388855497185737,0.0432126690848587,0,0,2,"0/2",2.97468,2.7028,0.0910429,0.0916596,0.0919726,0.0852229,35449.3,38637.3,35340,38574.9,45496.6,50963.2,55232,61870,1.9982,1.8214,0.0285804,0,24.5024,999.9,46.215,31.199,23.3413,60.7742,45.1603,1,-0.0861382,-2.40562,20.1179,5.19932,12.0099,4.976,3.2934,9999,9999,706.6,9999,1.86356,1.86832,1.86798,1.86926,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.503,0.318,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51851,51851,1.02173,2.64648,1.54785,2.30103,1.34644,2.35474,35.7777,23.9737,18,504.502,393.682,29.1742,26.1132,29.9997,26.1304,26.0766,20.4693,26.6264,32.0216,29.1662,420,17.9883,102.465,102.985,6
76,1663788714.6,1217,2022-09-21 14:31:54,14:31:54,5,"a_y_350_104","ozzie",1663788712.1,0.00212616065003327,2.12616065003328,-3.8212892376029,423.567004803494,460.915007233593,41.667984636223,38.2916224717724,0.12611080215566,2.75055538690786,0.122984425276887,0.077139702937722,0.00015962074799999,25.9183285170007,25.9183285170007,3.35798579653057,52.9294458862873,1.84003047325485,3.47638340519933,1.51795532327571,-93.7636846664676,86.9732398419907,6.77036525760014,-0.0199199461287094,-3.79822028432052,2.01950033616504,-3.8212892376029,427.706878473665,432.360333333333,0.00306448607756206,65.2775741985751,2.12616065003328,17.9808400873692,20.3770587878788,0.0118707616132114,118.914093702038,0,0,1,0,47851,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663788712.1,423.567,420.036777777778,20.3537,17.9804111111111,417.063111111111,20.0344444444444,500.165666666667,90.3541333333333,0.0486176777777778,26.5048444444444,24.9942222222222,999.9,0,0,9975,0,0.220656,3.53021555555555,432.367222222222,427.727555555556,2.37327333333333,420.036777777778,17.9804111111111,1.83904222222222,1.62460555555556,16.1226222222222,14.1942,0.00100013,0,0,0,833.444444444444,0.00100013,-20.1666666666667,-0.944444444444444,35.375,39.875,37.25,40.5413333333333,37.868,0,0,0,1663788712,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.5032135,0.416959699812378,0.11182635421827,0,2.3098045,0.388701613508439,0.043160073444678,0,0,2,"0/2",2.97295,2.70214,0.0910546,0.0916654,0.0921629,0.0852304,35449.3,38637.2,35340.4,38575.1,45486.8,50962.7,55231.9,61869.8,1.9986,1.8216,0.0288188,0,24.5251,999.9,46.215,31.199,23.3393,60.8142,45.1683,1,-0.0862805,-2.34943,20.1189,5.20172,12.0088,4.9756,3.294,9999,9999,706.6,9999,1.86356,1.86835,1.86801,1.86929,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.504,0.3206,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51851.1,51851.1,1.02173,2.64893,1.54785,2.30103,1.34644,2.4231,35.801,23.9737,18,504.726,393.776,29.2003,26.1087,29.9997,26.126,26.0745,20.4663,26.3553,32.0216,29.1879,420,18.1057,102.465,102.985,6
77,1663788719.6,1222,2022-09-21 14:31:59,14:31:59,5,"a_y_350_104","ozzie",1663788716.8,0.00214259911407163,2.14259911407163,-3.78441145567922,423.557604789847,460.176469265206,41.6013188278131,38.2908647783386,0.126704039841859,2.74580967784172,0.123543269388486,0.0774919587011242,0.00015962074799999,25.9677855837141,25.9677855837141,3.36783166767096,52.9062345443952,1.84518605987894,3.48765334703718,1.52264560779202,-94.488620930559,87.6312108695673,6.8369507932137,-0.0202996470299439,-3.80458877964924,2.0410234974319,-3.78441145567922,427.735896681472,432.367121212121,-0.00146172912302082,65.2775741985751,2.14259911407163,18.0244482788656,20.4376303030303,0.0122035060570439,118.914093702038,0,0,1,0,47658,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663788716.8,423.5576,420.0297,20.41068,18.01159,417.0539,20.08893,500.0308,90.35384,0.04912844,26.55976,25.12262,999.9,0,0,9947,0,0.220656,3.527979,432.3829,427.7338,2.399094,420.0297,18.01159,1.844184,1.627416,16.1664,14.22087,0.00100013,0,0,0,830.15,0.00100013,-20.65,-0.25,35.375,39.9122,37.2624,40.6435,37.8874,0,0,0,1663788716.8,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.52335525,0.237093095684789,0.10750299091159,0,2.346601,0.332421163227008,0.0361984661139115,0,0,2,"0/2",2.97429,2.70278,0.091058,0.0916822,0.0923318,0.0854295,35448.8,38636.4,35340.1,38575,45478.2,50951.6,55231.9,61869.8,1.9972,1.822,0.0403225,0,24.5498,999.9,46.191,31.199,23.3273,61.2742,44.7436,1,-0.0593902,7.7124,19.928,5.20531,12.0099,4.9752,3.2938,9999,9999,706.6,9999,1.86353,1.86829,1.86798,1.8692,1.86996,1.86615,1.8671,1.8685,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.504,0.323,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51851.2,51851.2,1.02173,2.65747,1.54785,2.30103,1.34644,2.29736,35.7777,23.8861,18,503.778,393.961,27.8221,26.1052,30.0195,26.1238,26.0701,20.4673,26.3553,32.0216,26.8322,420,18.0974,102.464,102.985,6
78,1663788724.6,1227,2022-09-21 14:32:04,14:32:04,5,"a_y_350_104","ozzie",1663788722.1,0.00197982055904962,1.97982055904962,-3.95566203598371,423.600671563485,466.76076251162,42.1962883544309,38.2945129925706,0.116248638791482,2.75860980707762,0.113594144065452,0.0712297873420756,0.00015962074799999,26.0111525737585,26.0111525737585,3.37648587023151,52.9530077755982,1.84638644322771,3.48683959757723,1.53009942700381,-87.3100866540884,81.0011481608184,6.29159394165011,-0.0171849308718208,-3.90609877820726,2.02139870712104,-3.95566203598371,427.662650735758,432.460036363636,0.00767509690231569,65.2775741985751,1.97982055904962,18.0405468637695,20.4136581818182,-0.00533209985208694,118.914093702038,0,0,1,0,48358,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663788722.1,423.600666666667,419.941111111111,20.4240888888889,18.0481111111111,417.096666666667,20.1017666666667,500.033333333333,90.3532555555556,0.0491341555555556,26.5558,25.1612777777778,999.9,0,0,10022.7777777778,0,0.373889333333333,3.65962888888889,432.432666666667,427.659555555556,2.37599333333333,419.941111111111,18.0481111111111,1.84538555555556,1.63070666666667,16.1766,14.2520777777778,0.00100013,0,0,0,822.888888888889,0.00100013,-12.5555555555556,-0.166666666666667,35.4163333333333,39.979,37.312,40.729,37.937,0,0,0,1663788722.2,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.566103,0.102675196998125,0.103603150680855,0,2.3649825,0.320053283302059,0.0361877876327084,0,0,2,"0/2",2.97529,2.70273,0.0910716,0.0916664,0.0922473,0.085712,35446.1,38634.4,35337.9,38572.2,45479.2,50932.7,55228,61866.1,1.9982,1.822,0.0323951,0,24.5726,999.9,46.191,31.189,23.3137,60.8642,45.2484,1,-0.0659756,3.41118,20.0893,5.20411,12.0099,4.9756,3.294,9999,9999,706.6,9999,1.86356,1.86829,1.86804,1.86923,1.87009,1.86615,1.86722,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.505,0.3217,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51851.3,51851.3,1.02173,2.64893,1.54785,2.30225,1.34644,2.38525,35.801,23.9211,18,504.401,393.947,26.4205,26.1021,30.0013,26.1194,26.0679,20.4694,25.3661,32.0216,26.6336,420,18.3136,102.457,102.979,6
79,1663788729.6,1232,2022-09-21 14:32:09,14:32:09,5,"a_y_350_104","ozzie",1663788726.8,0.00199647878883147,1.99647878883147,-3.91341708739371,423.627804923757,465.304381188895,42.0634135529209,38.2958602399022,0.11854467025808,2.757422166367,0.115784464006699,0.0726079306755164,0.00015962074799999,25.9323810341131,25.9323810341131,3.360780799565,53.1993778553317,1.84690998716746,3.47167591356025,1.51387081239754,-88.044714587468,81.6845231441181,6.3425494731101,-0.0174823494917575,-3.839822227246,1.90212161960571,-3.91341708739371,427.737043157245,432.503272727272,0.00336537047849488,65.2775741985751,1.99647878883147,18.2204258265154,20.4599612121212,0.0123778449043912,118.914093702038,0,0,1,0,47612,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663788726.8,423.6278,419.9877,20.43047,18.19501,417.1237,20.10788,500.1012,90.3509,0.0488797,26.48186,25.07109,999.9,0,0,10016,0,0.3144348,3.639943,432.4633,427.7711,2.235484,419.9877,18.19501,1.845913,1.643934,16.18109,14.37688,0.00100013,0,0,0,827.65,0.00100013,-17.9,-1.7,35.437,40.0248,37.3372,40.8184,37.9748,0,0,0,1663788727,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.58827825,0.513354258911822,0.0972911934320753,0,2.351089,-0.374461013133206,0.0622321794492206,0,0,2,"0/2",2.97442,2.7021,0.0910643,0.0916721,0.0924285,0.0861276,35446,38634.7,35337.5,38572.7,45469.9,50909.7,55227.9,61866.4,1.9984,1.8222,0.0268817,0,24.5912,999.9,46.191,31.199,23.3273,60.9942,45.1242,1,-0.0817886,0.963987,20.1273,5.19932,12.0099,4.9756,3.2932,9999,9999,706.6,9999,1.86356,1.86835,1.86801,1.8692,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.504,0.3243,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51851.4,51851.3,1.02173,2.64893,1.54785,2.30103,1.34644,2.41333,35.801,23.9737,18,504.512,394.04,26.1031,26.0986,29.9917,26.1172,26.0658,20.4702,25.3661,32.0216,26.511,420,18.3654,102.457,102.979,6
80,1663788734.6,1237,2022-09-21 14:32:14,14:32:14,5,"a_y_350_104","ozzie",1663788732.1,0.00206785534969639,2.06785534969639,-3.83194453606328,423.597560364281,461.754745858754,41.7431498695929,38.2936972608591,0.124924410777518,2.76075597782147,0.121866848429932,0.0764352571310852,0.00015962074799999,25.8480317315405,25.8480317315405,3.34403443872523,53.6153880212941,1.85419644212777,3.45832886892725,1.48983799659746,-91.1924209216109,84.6162248247081,6.55733094553735,-0.0187055306174955,-3.84923964061327,1.91982919816792,-3.83194453606328,427.793054852769,432.475466666667,3.37875405186134e-05,65.2775741985751,2.06785534969639,18.2557583803659,20.5446090909091,0.016339887678097,118.914093702038,0,0,1,0,47643,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663788732.1,423.597555555556,419.955333333333,20.5107666666667,18.2548333333333,417.093222222222,20.1846555555556,500.135,90.3528,0.0483279666666667,26.4165444444444,25.0094,999.9,0,0,10035.5555555556,0,0.232914666666667,3.64189,432.467555555556,427.764111111111,2.25596222222222,419.955333333333,18.2548333333333,1.85320666666667,1.64937444444444,16.2429333333333,14.4279888888889,0.00100013,0,0,0,834.277777777778,0.00100013,-18.0555555555556,-0.833333333333333,35.451,40.076,37.375,40.9025555555556,38,0,0,0,1663788731.8,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.61092675,0.370479737335832,0.0892086071628601,0,2.3213415,-0.711881651031898,0.0782057367956469,0,0,2,"0/2",2.97442,2.70184,0.091062,0.0916696,0.0926884,0.0861761,35448.4,38637.1,35339.7,38575,45459.9,50909.7,55231.8,61869.6,1.9978,1.8222,0.0228286,0,24.6057,999.9,46.167,31.199,23.3141,61.0342,44.6715,1,-0.0887398,-0.313333,20.1332,5.19932,12.0088,4.9756,3.2936,9999,9999,706.6,9999,1.86356,1.86835,1.86801,1.8692,1.87012,1.86615,1.86719,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.504,0.3278,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51851.4,51851.4,1.02173,2.65747,1.54785,2.30103,1.34644,2.31079,35.7777,23.9649,18,504.09,394.009,26.1523,26.0964,29.9932,26.1141,26.0614,20.4735,25.3661,31.646,26.4657,420,18.1117,102.464,102.985,6
81,1663788739.6,1242,2022-09-21 14:32:19,14:32:19,5,"a_y_350_104","ozzie",1663788736.8,0.00210871319568911,2.10871319568911,-3.78844807302337,423.555504716521,459.863912323001,41.5727129155585,38.2903527098613,0.128694296749918,2.75308075403441,0.125443198121874,0.0786872564880504,0.00015962074799999,25.8073230990503,25.8073230990503,3.3359784253844,53.8714322295008,1.85998022232365,3.45262812839251,1.47599820306075,-92.99425192989,86.2725263538676,6.7020166013905,-0.0195493538838463,-3.84615995122144,1.99390444197134,-3.78844807302337,427.789196877446,432.424503030303,-0.00101792977720199,65.2775741985751,2.10871319568911,18.2213796604468,20.5996436363636,0.0115924419760845,118.914093702038,0,0,1,0,48242,0.00100013,0.00084010919999999,0.84,0.1596,6,0.5,"0: Broadleaf",2,TRUE,1663788736.8,423.5555,419.9536,20.5745,18.23108,417.0516,20.2456,500.0079,90.35355,0.0486577,26.38858,24.95881,999.9,0,0,9990,0,0.220656,3.601844,432.4526,427.7518,2.343432,419.9536,18.23108,1.85898,1.647243,16.29174,14.408,0.00100013,0,0,0,826.25,0.00100013,-22.05,-1.95,35.5,40.125,37.3874,40.9874,38.0372,0,0,0,1663788737.2,0,0,"--:--:--",1660677648.1,1660677649.1,0,-1.042,0.003,5.218,0.344,417,22,1.24,0.53,3.627169,-0.090156697936225,0.0868903837257035,1,2.3024025,-0.255967204502817,0.0675032098403476,0,1,2,"1/2",2.97365,2.70267,0.0910555,0.091665,0.0928464,0.0859706,35450.4,38639.3,35341.4,38577,45453.7,50923.9,55234,61873,1.9978,1.823,0.0196993,0,24.6161,999.9,46.167,31.199,23.3127,60.9842,45.2885,1,-0.0899797,-0.93183,20.1312,5.20291,12.0064,4.976,3.294,9999,9999,706.6,9999,1.86356,1.86829,1.86807,1.8692,1.87012,1.86615,1.86719,1.86859,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,6.504,0.3301,3.83412584298339,0.00658963167372077,-4.22092532282452e-07,-7.06053572793055e-11,-0.0268881048355736,-0.0215699510358357,0.00246731695535422,-2.63680080038783e-05,-4,2079,1,22,51851.5,51851.5,1.02173,2.64648,1.54785,2.30103,1.34644,2.36084,35.7777,23.9737,18,504.054,394.428,26.3304,26.0942,29.9969,26.1106,26.0592,20.4729,25.9459,31.646,26.5124,420,18.0218,102.468,102.991,6
