id,type,sample.weight,n.retention.time,n.response,n.rb,n.weight.mg,n.weight.percent,n.peaktype,n.element.name,c.retention.time,c.response,c.rb,c.weight.mg,c.weight.percent,c.peak.type,c.element.name
a_n_35_113_tl,unknown,0.974,1.895,36.215,A,0.024,2.46,Ordnr,Nitrogen,3.167,1772.503,A,0.402,41.294,Ordnr,Carbon
a_n_350_140_tl,unknown,2.272,1.899,146.873,A,0.096,4.22,Ordnr,Nitrogen,3.053,4350.402,A,1.014,44.652,Ordnr,Carbon
a_y_210_96_tl,unknown,2.407,1.897,125.43,A,0.082,3.41,Ordnr,Nitrogen,3.045,4543.604,A,1.061,44.1,Ordnr,Carbon
a_n_280_136_tl,unknown,1.794,1.892,99.559,A,0.065,3.643,Ordnr,Nitrogen,3.084,3408.429,A,0.788,43.901,Ordnr,Carbon
a_y_350_103_tl,unknown,2.727,1.891,196.029,A,0.127,4.667,Ordnr,Nitrogen,3.023,5149.635,A,1.21,44.373,Ordnr,Carbon
a_y_0_73_tl,unknown,2.245,1.891,116.66,A,0.076,3.404,Ordnr,Nitrogen,3.052,4234.819,A,0.986,43.939,Ordnr,Carbon
a_n_0_111_tl,unknown,1.803,1.889,41.297,A,0.027,1.514,Ordnr,Nitrogen,3.097,3073.96,A,0.708,39.263,Ordnr,Carbon
a_n_70_119_tl,unknown,2.12,1.887,86.069,A,0.057,2.669,Ordnr,Nitrogen,3.073,3780.188,A,0.877,41.353,Ordnr,Carbon
a_n_35_115_tl,unknown,1.892,1.897,80.028,A,0.053,2.783,Ordnr,Nitrogen,3.103,3409.753,A,0.788,41.643,Ordnr,Carbon
a_y_35_78_tl,unknown,1.606,1.9,97.226,A,0.064,3.975,Ordnr,Nitrogen,3.12,3115.022,A,0.718,44.686,Ordnr,Carbon
a_n_210_132_tl,unknown,1.975,1.899,100.56,A,0.066,3.342,Ordnr,Nitrogen,3.088,3744.64,A,0.868,43.956,Ordnr,Carbon
QC,quality_control,1.03,1.888,168.101,A,0.109,10.629,Ordnr,Nitrogen,3.101,3204.039,A,0.739,71.732,Ordnr,Carbon
a_y_350_102_tl,unknown,2.609,1.904,144.271,A,0.094,3.611,Ordnr,Nitrogen,3.044,4970.038,A,1.166,44.686,Ordnr,Carbon
a_n_350_139_tl,unknown,3.28,1.904,233.55,A,0.151,4.604,Ordnr,Nitrogen,3.003,6207.004,A,1.473,44.918,Ordnr,Carbon
a_y_140_89_tl,unknown,2.239,1.897,122.138,A,0.08,3.571,Ordnr,Nitrogen,3.059,4297.711,A,1.002,44.738,Ordnr,Carbon
a_n_70_118_tl,unknown,2.085,1.897,105.949,A,0.069,3.333,Ordnr,Nitrogen,3.079,3910.115,A,0.908,43.547,Ordnr,Carbon
a_y_70_82_tl,unknown,1.621,1.887,84.391,A,0.055,3.424,Ordnr,Nitrogen,3.097,3117.411,A,0.718,44.308,Ordnr,Carbon
a_n_140_126_tl,unknown,1.813,1.887,109.369,A,0.072,3.955,Ordnr,Nitrogen,3.077,3528.211,A,0.816,45.02,Ordnr,Carbon
a_n_140_127_tl,unknown,2.221,1.893,78.818,A,0.052,2.335,Ordnr,Nitrogen,3.071,3956.909,A,0.919,41.388,Ordnr,Carbon
a_y_140_90_tl,unknown,2.903,1.904,172.089,A,0.112,3.859,Ordnr,Nitrogen,3.033,5499.215,A,1.297,44.661,Ordnr,Carbon
a_n_0_109_nod,unknown,2.749,1.903,263.464,A,0.17,6.176,Ordnr,Nitrogen,3.047,5157.14,A,1.212,44.085,Ordnr,Carbon
a_n_0_112_nod,unknown,0.75,1.888,68.591,A,0.045,6.026,Ordnr,Nitrogen,3.179,1532.181,A,0.346,46.197,Ordnr,Carbon
a_n_70_117_nod,unknown,0.873,1.896,56.521,A,0.037,4.272,Ordnr,Nitrogen,3.176,1745.577,A,0.396,45.355,Ordnr,Carbon
QC,quality_control,0.516,1.888,79.573,A,0.052,10.147,Ordnr,Nitrogen,3.169,1663.101,A,0.377,73.025,Ordnr,Carbon
a_n_70_118_nod,unknown,2.666,1.919,265.75,A,0.171,6.422,Ordnr,Nitrogen,3.059,5171.565,A,1.215,45.591,Ordnr,Carbon
a_n_70_119_nod,unknown,1.227,1.897,81.893,A,0.054,4.39,Ordnr,Nitrogen,3.141,2386.43,A,0.546,44.464,Ordnr,Carbon
a_n_105_122_nod,unknown,1.449,1.903,88.988,A,0.058,4.036,Ordnr,Nitrogen,3.123,2834.495,A,0.651,44.938,Ordnr,Carbon
a_n_105_123_nod,unknown,1.604,1.9,145.095,A,0.095,5.907,Ordnr,Nitrogen,3.115,3096.158,A,0.713,44.463,Ordnr,Carbon
a_n_140_126_nod,unknown,1.106,1.891,97.049,A,0.064,5.762,Ordnr,Nitrogen,3.141,2172.614,A,0.495,44.799,Ordnr,Carbon
a_n_140_128_nod,unknown,1.283,1.892,120.566,A,0.079,6.154,Ordnr,Nitrogen,3.129,2473.757,A,0.566,44.122,Ordnr,Carbon
a_n_280_135_nod,unknown,3.122,1.904,268.844,A,0.173,5.546,Ordnr,Nitrogen,3.02,5913.821,A,1.4,44.836,Ordnr,Carbon
a_n_630_144_nod,unknown,0.265,1.884,17.146,A,0.011,4.295,Ordnr,Nitrogen,3.216,552.263,A,0.121,45.848,Ordnr,Carbon
a_y_0_73_nod,unknown,1.72,1.901,135.832,A,0.089,5.162,Ordnr,Nitrogen,3.113,3424.834,A,0.791,46.017,Ordnr,Carbon
a_y_0_74_nod,unknown,2.552,1.915,220.962,A,0.143,5.606,Ordnr,Nitrogen,3.081,4877.714,A,1.143,44.796,Ordnr,Carbon
a_y_0_75_nod,unknown,2.276,1.92,195.821,A,0.127,5.586,Ordnr,Nitrogen,3.097,4513.066,A,1.054,46.312,Ordnr,Carbon
QC,quality_control,0.961,1.891,153.706,A,0.1,10.434,Ordnr,Nitrogen,3.107,3006.7,A,0.692,72.002,Ordnr,Carbon
a_y_0_76_nod,unknown,2.931,1.928,228.34,A,0.148,5.04,Ordnr,Nitrogen,3.067,5686.074,A,1.343,45.819,Ordnr,Carbon
a_y_35_77_nod,unknown,1.462,1.917,119.565,A,0.078,5.356,Ordnr,Nitrogen,3.143,2916.649,A,0.671,45.868,Ordnr,Carbon
a_y_35_78_nod,unknown,2.046,1.925,187.266,A,0.122,5.948,Ordnr,Nitrogen,3.109,4084.053,A,0.95,46.429,Ordnr,Carbon
a_y_35_79_nod,unknown,1.84,1.925,158.309,A,0.103,5.61,Ordnr,Nitrogen,3.125,3718.347,A,0.862,46.838,Ordnr,Carbon
a_y_35_80_nod,unknown,2.183,1.921,176.26,A,0.115,5.254,Ordnr,Nitrogen,3.107,4286.971,A,0.999,45.767,Ordnr,Carbon
a_y_70_81_nod,unknown,1.614,1.913,149.285,A,0.097,6.037,Ordnr,Nitrogen,3.133,3198.424,A,0.738,45.694,Ordnr,Carbon
a_y_70_82_nod,unknown,1.559,1.913,134.511,A,0.088,5.641,Ordnr,Nitrogen,3.139,3080.791,A,0.71,45.512,Ordnr,Carbon
a_y_70_83_nod,unknown,1.921,1.923,169.923,A,0.111,5.76,Ordnr,Nitrogen,3.131,3739.999,A,0.867,45.133,Ordnr,Carbon
a_y_70_84_nod,unknown,1.655,1.921,145.927,A,0.095,5.757,Ordnr,Nitrogen,3.151,3265.553,A,0.753,45.528,Ordnr,Carbon
a_y_105_85_nod,unknown,1.232,1.924,114.759,A,0.075,6.104,Ordnr,Nitrogen,3.18,2514.256,A,0.576,46.722,Ordnr,Carbon
a_y_105_86_nod,unknown,1.847,1.935,173.041,A,0.113,6.098,Ordnr,Nitrogen,3.152,3717.269,A,0.862,46.646,Ordnr,Carbon
QC,quality_control,1.062,1.92,170.32,A,0.111,10.443,Ordnr,Nitrogen,3.132,3292.905,A,0.76,71.564,Ordnr,Carbon
a_y_105_87_nod,unknown,1.736,1.932,161.199,A,0.105,6.052,Ordnr,Nitrogen,3.151,3492.487,A,0.808,46.525,Ordnr,Carbon
a_y_105_88_nod,unknown,2.06,1.933,173.495,A,0.113,5.482,Ordnr,Nitrogen,3.135,3964.498,A,0.921,44.712,Ordnr,Carbon
a_y_140_89_nod,unknown,1.14,1.919,105.505,A,0.069,6.071,Ordnr,Nitrogen,3.171,2283.395,A,0.521,45.738,Ordnr,Carbon
a_y_140_90_nod,unknown,1.732,1.924,148.272,A,0.097,5.588,Ordnr,Nitrogen,3.136,3413.219,A,0.789,45.538,Ordnr,Carbon
a_y_140_91_nod,unknown,1.351,1.924,119.978,A,0.079,5.816,Ordnr,Nitrogen,3.161,2703.663,A,0.62,45.91,Ordnr,Carbon
a_y_140_92_nod,unknown,1.779,1.921,146.937,A,0.096,5.392,Ordnr,Nitrogen,3.14,3481.952,A,0.805,45.259,Ordnr,Carbon
a_y_210_93_nod,unknown,2.412,1.928,197.167,A,0.128,5.307,Ordnr,Nitrogen,3.112,4716.217,A,1.104,45.756,Ordnr,Carbon
a_y_210_94_nod,unknown,0.985,1.915,72.282,A,0.048,4.833,Ordnr,Nitrogen,3.187,1942.208,A,0.442,44.842,Ordnr,Carbon
a_y_210_95_nod,unknown,1.728,1.925,127.652,A,0.084,4.833,Ordnr,Nitrogen,3.16,3241.61,A,0.748,43.274,Ordnr,Carbon
a_y_210_96_nod,unknown,2.108,1.941,180.513,A,0.117,5.569,Ordnr,Nitrogen,3.151,4171.655,A,0.971,46.069,Ordnr,Carbon
a_y_280_97_nod,unknown,1.911,1.94,146.928,A,0.096,5.02,Ordnr,Nitrogen,3.167,3731.368,A,0.865,45.261,Ordnr,Carbon
QC,quality_control,1.394,1.937,225.172,A,0.146,10.453,Ordnr,Nitrogen,3.127,4293.774,A,1.001,71.789,Ordnr,Carbon
a_y_280_98_nod,unknown,2.585,1.953,217.468,A,0.141,5.449,Ordnr,Nitrogen,3.149,5079.027,A,1.193,46.138,Ordnr,Carbon
a_y_280_99_nod,unknown,2.73,1.953,229.308,A,0.148,5.433,Ordnr,Nitrogen,3.144,5268.678,A,1.239,45.4,Ordnr,Carbon
a_y_280_100_nod,unknown,1.813,1.943,143.586,A,0.094,5.172,Ordnr,Nitrogen,3.169,3613.875,A,0.837,46.152,Ordnr,Carbon
a_y_350_101_nod,unknown,2.155,1.939,185.189,A,0.12,5.586,Ordnr,Nitrogen,3.152,4207.236,A,0.98,45.464,Ordnr,Carbon
a_y_350_102_nod,unknown,1.792,1.94,148.543,A,0.097,5.411,Ordnr,Nitrogen,3.179,3546.96,A,0.821,45.799,Ordnr,Carbon
a_y_350_103_nod,unknown,2.048,1.94,155.048,A,0.101,4.938,Ordnr,Nitrogen,3.167,3905.802,A,0.907,44.283,Ordnr,Carbon
a_y_350_104_nod,unknown,1.976,1.941,160.063,A,0.104,5.28,Ordnr,Nitrogen,3.175,3863.768,A,0.897,45.384,Ordnr,Carbon
a_y_630_105_nod,unknown,2.554,1.949,208.298,A,0.135,5.288,Ordnr,Nitrogen,3.168,4857.34,A,1.138,44.565,Ordnr,Carbon
a_y_630_106_nod,unknown,2.375,1.949,191.392,A,0.124,5.235,Ordnr,Nitrogen,3.179,4619.584,A,1.08,45.475,Ordnr,Carbon
a_y_630_107_nod,unknown,1.756,1.948,130.464,A,0.085,4.86,Ordnr,Nitrogen,3.211,3400.124,A,0.786,44.738,Ordnr,Carbon
a_y_630_108_nod,unknown,1.364,1.945,103.06,A,0.068,4.958,Ordnr,Nitrogen,3.22,2670.612,A,0.612,44.9,Ordnr,Carbon
QC,quality_control,1.201,1.956,195.735,A,0.127,10.582,Ordnr,Nitrogen,3.187,3795.989,A,0.88,73.312,Ordnr,Carbon
