id,type,sample.weight,n.retention.time,n.response,n.rb,n.weight.mg,n.weight.percent,n.peaktype,n.element.name,c.retention.time,c.response,c.rb,c.weight.mg,c.weight.percent,c.peak.type,c.element.name
a_y_70_84_focal,unknown,2.41,1.965,162.838,A,0.096,3.992,Ordnr,Nitrogen,3.163,4872.946,A,1.04,43.155,Ordnr,Carbon
a_y_105_85_focal,unknown,3.777,1.971,233.952,A,0.138,3.647,Ordnr,Nitrogen,3.101,7404.875,A,1.616,42.773,Ordnr,Carbon
a_y_105_86_focal,unknown,3.006,1.975,172.546,A,0.102,3.39,Ordnr,Nitrogen,3.144,5938.271,A,1.279,42.55,Ordnr,Carbon
a_y_105_87_focal,unknown,3.429,1.976,254.63,A,0.15,4.369,Ordnr,Nitrogen,3.121,6971.435,A,1.515,44.187,Ordnr,Carbon
a_y_105_88_focal,unknown,3.167,1.981,206.419,A,0.122,3.843,Ordnr,Nitrogen,3.149,6294.895,A,1.36,42.945,Ordnr,Carbon
a_y_140_89_focal,unknown,3.512,1.983,239.989,A,0.141,4.023,Ordnr,Nitrogen,3.135,7078.573,A,1.54,43.847,Ordnr,Carbon
a_y_140_90_focal,unknown,2.238,1.975,204.13,A,0.12,5.378,Ordnr,Nitrogen,3.203,4611.137,A,0.982,43.876,Ordnr,Carbon
a_y_140_91_focal,unknown,2.217,1.973,157.394,A,0.093,4.195,Ordnr,Nitrogen,3.193,4528.738,A,0.964,43.47,Ordnr,Carbon
a_y_140_92_focal,unknown,3.102,1.968,248.673,A,0.146,4.717,Ordnr,Nitrogen,3.125,6293.777,A,1.36,43.836,Ordnr,Carbon
a_y_210_93_focal,unknown,3.916,1.975,278.029,A,0.163,4.172,Ordnr,Nitrogen,3.087,7853.382,A,1.72,43.929,Ordnr,Carbon
a_y_210_94_focal,unknown,2.28,1.956,225.707,A,0.133,5.832,Ordnr,Nitrogen,3.161,4680.985,A,0.997,43.746,Ordnr,Carbon
QC,quality_control,1.099,1.937,193.571,A,0.114,10.391,Ordnr,Nitrogen,3.187,3672.911,A,0.776,70.599,Ordnr,Carbon
a_y_210_95_focal,unknown,2.864,1.955,260.713,A,0.153,5.354,Ordnr,Nitrogen,3.127,5850.483,A,1.259,43.966,Ordnr,Carbon
a_y_210_96_focal,unknown,2.247,1.948,172.766,A,0.102,4.54,Ordnr,Nitrogen,3.157,4598.961,A,0.979,43.58,Ordnr,Carbon
a_y_280_97_focal,unknown,1.338,1.94,126.941,A,0.075,5.615,Ordnr,Nitrogen,3.219,2825.841,A,0.593,44.284,Ordnr,Carbon
a_y_280_98_focal,unknown,1.996,1.944,161.618,A,0.095,4.784,Ordnr,Nitrogen,3.167,4168.018,A,0.884,44.3,Ordnr,Carbon
a_y_280_99_focal,unknown,3.55,1.955,273.091,A,0.161,4.522,Ordnr,Nitrogen,3.083,7166.05,A,1.56,43.947,Ordnr,Carbon
a_y_280_100_focal,unknown,4.023,1.949,289.674,A,0.17,4.229,Ordnr,Nitrogen,3.053,8037.63,A,1.764,43.836,Ordnr,Carbon
a_y_350_101_focal,unknown,2.975,1.948,232.35,A,0.137,4.599,Ordnr,Nitrogen,3.109,5992.546,A,1.291,43.406,Ordnr,Carbon
a_y_350_102_focal,unknown,2.155,1.944,198.431,A,0.117,5.431,Ordnr,Nitrogen,3.156,4495.36,A,0.956,44.378,Ordnr,Carbon
a_y_350_103_focal,unknown,3.977,1.959,427.574,A,0.25,6.275,Ordnr,Nitrogen,3.077,7839.621,A,1.717,43.174,Ordnr,Carbon
a_y_350_104_focal,unknown,2.565,1.963,212.755,A,0.125,4.889,Ordnr,Nitrogen,3.153,5297.958,A,1.135,44.244,Ordnr,Carbon
a_y_630_105_focal,unknown,2.303,1.963,230.531,A,0.136,5.895,Ordnr,Nitrogen,3.176,4790.198,A,1.022,44.361,Ordnr,Carbon
QC,quality_control,1.206,1.953,214.423,A,0.126,10.479,Ordnr,Nitrogen,3.197,4069.595,A,0.863,71.527,Ordnr,Carbon
a_y_630_106_focal,unknown,2.361,1.967,251.19,A,0.148,6.26,Ordnr,Nitrogen,3.181,4946.571,A,1.056,44.744,Ordnr,Carbon
a_y_630_107_focal,unknown,3.004,1.965,300.415,A,0.176,5.871,Ordnr,Nitrogen,3.132,6229.571,A,1.345,44.78,Ordnr,Carbon
a_y_630_108_focal,unknown,2.363,1.959,235.491,A,0.139,5.868,Ordnr,Nitrogen,3.156,4959.679,A,1.059,44.83,Ordnr,Carbon
a_n_0_109_focal,unknown,1.399,1.949,85.256,A,0.051,3.614,Ordnr,Nitrogen,3.224,2833.594,A,0.594,42.472,Ordnr,Carbon
a_n_0_110_focal,unknown,2.345,1.955,48.183,A,0.029,1.221,Ordnr,Nitrogen,3.173,4182.166,A,0.887,37.839,Ordnr,Carbon
a_n_0_111_focal,unknown,3.079,1.96,64.059,A,0.038,1.235,Ordnr,Nitrogen,3.136,5497.099,A,1.18,38.309,Ordnr,Carbon
a_n_0_112_focal,unknown,1.975,1.947,157.906,A,0.093,4.725,Ordnr,Nitrogen,3.179,3989.553,A,0.845,42.788,Ordnr,Carbon
a_n_35_113_focal,unknown,2.351,1.943,113.803,A,0.067,2.866,Ordnr,Nitrogen,3.159,4325.345,A,0.919,39.083,Ordnr,Carbon
a_n_35_114_focal,unknown,2.518,1.947,54.961,A,0.033,1.296,Ordnr,Nitrogen,3.151,4503.243,A,0.958,38.049,Ordnr,Carbon
a_n_35_115_focal,unknown,3.117,1.951,125.94,A,0.075,2.391,Ordnr,Nitrogen,3.121,5609.427,A,1.205,38.652,Ordnr,Carbon
a_n_35_116_focal,unknown,2.506,1.941,162.377,A,0.096,3.828,Ordnr,Nitrogen,3.135,4852.703,A,1.036,41.322,Ordnr,Carbon
QC,quality_control,0.814,1.928,139.879,A,0.083,10.163,Ordnr,Nitrogen,3.209,2738.325,A,0.574,70.481,Ordnr,Carbon
a_n_70_117_focal,unknown,1.911,1.952,112.216,A,0.066,3.478,Ordnr,Nitrogen,3.197,3689.365,A,0.779,40.788,Ordnr,Carbon
a_n_70_118_focal,unknown,3.21,1.955,263.074,A,0.155,4.819,Ordnr,Nitrogen,3.116,6269.933,A,1.354,42.192,Ordnr,Carbon
a_n_70_119_focal,unknown,1.825,1.952,88.14,A,0.052,2.863,Ordnr,Nitrogen,3.213,3402.438,A,0.717,39.291,Ordnr,Carbon
a_n_70_120_focal,unknown,2.091,1.957,121.078,A,0.072,3.428,Ordnr,Nitrogen,3.2,3955.659,A,0.838,40.06,Ordnr,Carbon
a_n_105_121_focal,unknown,2.047,1.964,151.715,A,0.09,4.381,Ordnr,Nitrogen,3.199,4121.842,A,0.874,42.701,Ordnr,Carbon
a_n_105_122_focal,unknown,3.186,1.972,153.725,A,0.091,2.852,Ordnr,Nitrogen,3.132,6160.689,A,1.33,41.73,Ordnr,Carbon
a_n_105_123_focal,unknown,3.277,1.961,208.741,A,0.123,3.755,Ordnr,Nitrogen,3.119,6180.302,A,1.334,40.707,Ordnr,Carbon
a_n_105_124_focal,unknown,1.702,1.949,99.226,A,0.059,3.455,Ordnr,Nitrogen,3.213,3190.154,A,0.671,39.429,Ordnr,Carbon
a_n_140_125_focal,unknown,2.18,1.948,168.394,A,0.099,4.563,Ordnr,Nitrogen,3.172,4296.566,A,0.912,41.858,Ordnr,Carbon
a_n_140_126_focal,unknown,2.925,1.944,266.393,A,0.157,5.355,Ordnr,Nitrogen,3.117,5899.901,A,1.27,43.431,Ordnr,Carbon
a_n_140_127_focal,unknown,1.509,1.939,97.304,A,0.058,3.821,Ordnr,Nitrogen,3.211,2964.585,A,0.622,41.245,Ordnr,Carbon
QC,quality_control,1.075,1.923,188.123,A,0.111,10.327,Ordnr,Nitrogen,3.169,3573.974,A,0.754,70.171,Ordnr,Carbon
a_n_140_128_focal,unknown,2.981,1.945,251.784,A,0.148,4.97,Ordnr,Nitrogen,3.113,5878.273,A,1.265,42.451,Ordnr,Carbon
a_n_210_129_focal,unknown,3.52,1.952,277.293,A,0.163,4.63,Ordnr,Nitrogen,3.096,6838.451,A,1.485,42.174,Ordnr,Carbon
a_n_210_130_focal,unknown,3.038,1.949,247.097,A,0.145,4.787,Ordnr,Nitrogen,3.117,6001.836,A,1.293,42.576,Ordnr,Carbon
a_n_210_131_focal,unknown,2.844,1.957,240.136,A,0.141,4.971,Ordnr,Nitrogen,3.136,5840.579,A,1.257,44.196,Ordnr,Carbon
a_n_210_132_focal,unknown,2.839,1.96,216.151,A,0.127,4.487,Ordnr,Nitrogen,3.144,5653.765,A,1.215,42.789,Ordnr,Carbon
a_n_280_133_focal,unknown,3.808,1.964,299.35,A,0.176,4.615,Ordnr,Nitrogen,3.097,7576.524,A,1.656,43.474,Ordnr,Carbon
a_n_280_134_focal,unknown,3.308,1.96,292.858,A,0.172,5.199,Ordnr,Nitrogen,3.113,6816.911,A,1.48,44.727,Ordnr,Carbon
a_n_280_135_focal,unknown,4.238,1.965,341.118,A,0.2,4.716,Ordnr,Nitrogen,3.079,8388.512,A,1.846,43.567,Ordnr,Carbon
a_n_280_136_focal,unknown,4.12,1.957,438.726,A,0.256,6.212,Ordnr,Nitrogen,3.077,8078.274,A,1.773,43.036,Ordnr,Carbon
a_n_350_137_focal,unknown,2.497,1.952,207.81,A,0.123,4.907,Ordnr,Nitrogen,3.149,5136.162,A,1.099,44,Ordnr,Carbon
a_n_350_138_focal,unknown,3.071,1.951,245.383,A,0.144,4.703,Ordnr,Nitrogen,3.111,6252.852,A,1.35,43.975,Ordnr,Carbon
QC,quality_control,0.644,1.921,112.027,A,0.066,10.302,Ordnr,Nitrogen,3.231,2201.194,A,0.459,71.254,Ordnr,Carbon
a_n_350_139_focal,unknown,3.217,1.948,340.306,A,0.199,6.199,Ordnr,Nitrogen,3.103,6480.493,A,1.402,43.594,Ordnr,Carbon
a_n_350_140_focal,unknown,2.188,1.936,226.903,A,0.134,6.109,Ordnr,Nitrogen,3.156,4478.722,A,0.953,43.541,Ordnr,Carbon
a_n_630_141_focal,unknown,3.108,1.941,305.202,A,0.179,5.764,Ordnr,Nitrogen,3.103,6326.957,A,1.367,43.995,Ordnr,Carbon
a_n_630_142_focal,unknown,2.72,1.943,252.97,A,0.149,5.472,Ordnr,Nitrogen,3.127,5575.382,A,1.197,44.012,Ordnr,Carbon
a_n_630_143_focal,unknown,3.49,1.952,375.714,A,0.22,6.298,Ordnr,Nitrogen,3.099,6983.666,A,1.518,43.495,Ordnr,Carbon
a_n_630_144_focal,unknown,3.006,1.949,316.231,A,0.186,6.171,Ordnr,Nitrogen,3.123,6162.765,A,1.33,44.244,Ordnr,Carbon
QC,quality_control,0.843,1.935,142.286,A,0.084,9.982,Ordnr,Nitrogen,3.233,2748.994,A,0.576,68.328,Ordnr,Carbon
